V1,V2
P03246,Q9Y6C9
P03246,Q9BQB6
P03246,Q9P0L0
P03246,Q96IX5
P03246,O14773
P03246,Q96JJ7
P03246,P42166
P03246,Q8N4L2
P03246,Q9BTV4
P03246,Q9NV96
P03246,Q9HC07
P03246,O15533
P03246,P46977
P03246,Q13586
P03246,Q9Y5M8
P03246,P08240
P03246,Q9Y6N5
P03366,P03366
P03255-2,P63244
P03255-2,P63244
P03126,Q12959
P03126,Q96RT1
Q14160,P03126
P03126,Q14160
P03255,P62195
Q9WH13,Q12959
P03255,P06400
Q92830,P03255
P03255-2,Q09472
Q9Y4A5,P03255
P03255,Q09472
P03255-2,P06400
P03255-2,Q92830
Q9Y4A5,P03255-2
Q92831,P03255-2
P03255-2,Q92793
P03265,P10144
P20718,P24933
P10188,P04485
O60885,P03120
Q77E16,Q05086
Q77E16,Q05086
P04295,P10212
P10212,P10217
P04295,P10217
P04295,P10212
P10212,P10217
P04295,P10217
P04289,P10200
P10200,P04289
Q77E16,Q05086
Q77E16,P26045
P08543,P10224
A7Y3Z3,Q96SB4
A7Y3Z3,Q96SB4
A7Y3Z3,Q96SB4
A7Y3Z3,Q96SB4
P03120,Q99966
P10212,P04295
P04295,P04295
P10212,P04295
P06491,P10200
P04295,P10212
P10212,P10217
P10212,P10217
P04295,P10212
P10217,P04295
P10217,P04295
P04487,P04487
P10221,P10221
P10200,P04289
P10220,P10221
P06492,P10220
P06492,P10230
P06492,P10231
P06492,P10233
P10233,P10233
P06492,P10230
P10220,P10221
P10221,P10221
Q14160,P03126
Q14160,P03126
P10217,P04295
P10212,P10217
P10212,P04295
P10217,P04295
P04295,P10212
P10217,P10212
P06927,Q5SUL5
P06491,P10219
P04293,P10192
P10192,P04293
P10192,P04293
P10192,P04293
P10210,P06491
P06927,Q93050
P06927,Q93050
P06927,Q93050
P10212,P10190
P04295,P10190
P10212,P10190
P04295,P10190
P10210,P10210
P06491,P10210
P10210,P10210
P04293,P10226
P04293,P10226
P06491,P10210
P08392,P10238
P08392,P10238
P08392,P08393
P08392,P10238
P08392,P10238
P08392,P10238
P10193,P10226
P10193,P10226
P10193,P10226
P04296,P08392
P04296,P04294
P04296,P10192
P04296,P10226
P04296,P10238
P04296,P08392
P04296,P10238
P04296,P10189
P68331,P10204
P68331,P10204
P68331,P10204
P68331,P10204
Q92793,P03255
Q92793,P03255
P03255,P28749
P03255,P06400
A0MPS7,Q08999
A0MPS7,P06400
A0MPS7,P28749
Q09472,P03255
P28749,P03255
P06400,P03255
P03255,Q08999
P28749,P03255
P03255,Q08999
P78396,P03255
P03255,P06400
A0MPS7,P06400
P03255,P20226
P21675,P03255
P03255,P21675
P21675,P03255
P03255,P06400
P01106,P03129
P03129,P01106
P06400,P03255
P03129,P06400
P06400,P03255
O15304,P03129
P03129,O15304
P03129,O15304
P03129,O15304
P06400,P03129
P03264,Q12857
P04637,P03126
P03129,P68400
P03129,P06400
P06748,P68951
P06748,P24938
P68951,Q01105-2
P68951,P06748
P68951,P06748
P24938,P06748
P24938,P06748
P68951,P06748
